"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 10 16:16:49 CST 2020","Wed Jun 10 16:17:02 CST 2020","12392","TestCase","test_login","Testlogin","","","test_login_01","
            用例描述：测试正常登录
        "
"passed","Wed Jun 10 16:17:02 CST 2020","Wed Jun 10 16:17:03 CST 2020","1348","TestCase","test_login","Testlogin","","","test_login_02","
            用例描述：密码错误数据
        "
