[ERROR 2020-06-09 16:12:37]Response body != expected_msg, expected_msg is 公司, body is 部门1591690338
[ERROR 2020-06-09 16:12:43]Response body msg != expected_msg, expected_msg is ERR_BAD_REQUEST, body_msg is X-Api-Error-Code
[ERROR 2020-06-09 16:12:43]Response body != expected_msg, expected_msg is data should have required property 'mode', body is {"id":65}
[ERROR 2020-06-09 16:12:43]Response body != expected_msg, expected_msg is 公司, body is 部门1591690338
[ERROR 2020-06-09 16:12:43]Response body != expected_msg, expected_msg is 公司, body is 部门1591690338
[ERROR 2020-06-09 16:12:43]Response body != expected_msg, expected_msg is data should have required property 'mode', body is {"id":65}
[ERROR 2020-06-09 16:12:43]Response body msg != expected_msg, expected_msg is ERR_BAD_REQUEST, body_msg is X-Api-Error-Code
[ERROR 2020-06-09 17:14:30]Response body != expected_msg, expected_msg is data should have required property 'mode', body is data should have required property 'name'
[ERROR 2020-06-09 17:14:30]Response body != expected_msg, expected_msg is data should have required property 'mode', body is data should have required property 'name'
[ERROR 2020-06-09 17:14:31]Response body != expected_msg, expected_msg is data should have required property 'mode', body is data should have required property 'name'
[ERROR 2020-06-09 17:14:31]Response body != expected_msg, expected_msg is data should have required property 'mode', body is data should have required property 'name'
[ERROR 2020-06-09 17:19:47]Response body != expected_msg, expected_msg is data should have required property 'name', body is data.name should be string
[ERROR 2020-06-09 17:22:52]Response body != expected_msg, expected_msg is data.name should be string, body is data.name should NOT be shorter than 1 characters
[ERROR 2020-06-09 17:31:58]Response body != expected_msg, expected_msg is data.name should NOT be shorter than 1 characters, body is {"id":69}
[ERROR 2020-06-09 17:35:20]Response body != expected_msg, expected_msg is 204, body is 200
[ERROR 2020-06-09 17:35:56]Response body != expected_msg, expected_msg is 204, body is 200
[ERROR 2020-06-09 17:52:10]Response body != expected_msg, expected_msg is 204, body is 200
[ERROR 2020-06-10 09:31:01]Response body msg != expected_msg, expected_msg is ERR_LOGIN_FAILED, body_msg is X-Api-Error-Code
[ERROR 2020-06-10 09:31:37]Response body != expected_msg, expected_msg is data should have required property 'auth', body is data should have required property 'password'
[ERROR 2020-06-10 09:32:20]Response body != expected_msg, expected_msg is 200, body is 11111
[ERROR 2020-06-10 09:32:35]Response body != expected_msg, expected_msg is 200, body is 11111
[ERROR 2020-06-10 09:32:50]Response body msg != expected_msg, expected_msg is ERR_BAD_REQUEST, body_msg is X-Api-Error-Code
[ERROR 2020-06-10 09:41:54]Response body != expected_msg, expected_msg is data should have required property 'auth', body is data should have required property 'password'
[ERROR 2020-06-10 14:01:04]Response body msg != expected_msg, expected_msg is ERR_LOGIN_FAILED, body_msg is X-Api-Error-Code
[ERROR 2020-06-10 14:01:05]Response body != expected_msg, expected_msg is data should have required property 'auth', body is data should have required property 'password'
[ERROR 2020-06-10 14:01:05]Response body != expected_msg, expected_msg is 200, body is 11111
[ERROR 2020-06-10 14:01:06]Response body != expected_msg, expected_msg is 200, body is 11111
[ERROR 2020-06-10 14:01:06]Response body msg != expected_msg, expected_msg is ERR_BAD_REQUEST, body_msg is X-Api-Error-Code
[ERROR 2020-06-10 14:03:05]Response body msg != expected_msg, expected_msg is ERR_LOGIN_FAILED, body_msg is X-Api-Error-Code
[ERROR 2020-06-10 14:04:33]Response body != expected_msg, expected_msg is data should have required property 'auth', body is data should have required property 'password'
[ERROR 2020-06-10 14:05:23]Response body != expected_msg, expected_msg is data should have required property 'auth', body is data should have required property 'password'
[ERROR 2020-06-10 14:07:02]Response body != expected_msg, expected_msg is 200, body is 11111
[ERROR 2020-06-10 14:07:27]Response body != expected_msg, expected_msg is 200, body is 11111
[ERROR 2020-06-10 14:07:54]Response body msg != expected_msg, expected_msg is ERR_BAD_REQUEST, body_msg is X-Api-Error-Code
[ERROR 2020-06-10 14:08:22]Response body != expected_msg, expected_msg is 200, body is 11111
[ERROR 2020-06-10 14:08:23]Response body != expected_msg, expected_msg is 200, body is 11111
[ERROR 2020-06-10 14:08:23]Response body msg != expected_msg, expected_msg is ERR_BAD_REQUEST, body_msg is X-Api-Error-Code
[ERROR 2020-06-10 15:27:23]Response body msg != expected_msg, expected_msg is ERR_LOGIN_FAILED, body_msg is X-Api-Error-Code
[ERROR 2020-06-10 15:28:33]Response body msg != expected_msg, expected_msg is ERR_LOGIN_FAILED, body_msg is X-Api-Error-Code
